id,preferred_label,alt_labels,description
esco/skill/data-analysis,Data Analysis,exploratory data analysis|eda,"Cleaning, exploring, summarising, and visualising data sets to extract insight and to prepare features for downstream modelling."
esco/skill/linux,Linux,unix|gnu/linux,"Open-source Unix-like operating system family used on servers, workstations, and embedded devices, with command-line tooling and package managers."
esco/skill/shell-scripting,Shell Scripting,bash|zsh,"Automating command-line workflows using POSIX shell, Bash, or Zsh scripts, including pipelines, variables, conditionals, and loops."
esco/skill/tcp-ip-networking,TCP/IP Networking,networking,"Understanding the TCP/IP stack including IP addressing, routing, TCP and UDP transports, DNS, and common application-layer protocols."
esco/skill/http-protocol,HTTP Protocol,http/2|http/3,"Understanding HTTP methods, status codes, headers, caching semantics, connection management, and TLS, as the foundation of web communication."
esco/skill/cryptography,Applied Cryptography,crypto,"Using cryptographic primitives such as symmetric and asymmetric encryption, hashing, digital signatures, and key exchange to protect data."
esco/skill/web-security,Web Application Security,owasp|appsec,"Defending web applications against threats such as injection, cross-site scripting, CSRF, SSRF, and broken access control, aligned with the OWASP Top 10."
esco/skill/authentication,Authentication and Authorization,authn|authz|oauth2|jwt,"Verifying user identity and controlling resource access using OAuth2, OpenID Connect, JWT tokens, session cookies, and role-based access control."
esco/skill/aws,Amazon Web Services,aws|amazon cloud,"Public cloud platform providing EC2 compute, S3 object storage, RDS databases, IAM identity, and many managed services for building scalable systems."
esco/skill/azure,Microsoft Azure,azure cloud,"Microsoft public cloud platform providing virtual machines, App Service, Azure SQL, Active Directory, and managed Kubernetes offerings."
esco/skill/docker,Docker,containers,"Container platform used to package applications and their dependencies into images that run consistently across development, CI, and production environments."
esco/skill/kubernetes,Kubernetes,k8s,"Container orchestration platform for deploying, scaling, and operating containerised applications, using pods, deployments, services, and controllers."
esco/skill/ci-cd,Continuous Integration and Delivery,ci|cd|devops pipelines,"Automating build, test, and deployment pipelines so changes are integrated continuously and released to production on a reliable, repeatable cadence."
esco/skill/terraform,Terraform,infrastructure as code|iac,Declarative infrastructure-as-code tool that provisions and manages cloud resources through HashiCorp Configuration Language and provider plugins.
esco/skill/android-development,Android Application Development,android,"Building mobile applications for the Android platform using Kotlin or Java, activities, fragments, Jetpack libraries, and the Android SDK."
esco/skill/ios-development,iOS Application Development,ios,"Building mobile applications for iOS using Swift, UIKit, and SwiftUI, targeting iPhone and iPad with the Apple developer toolchain."
esco/skill/react-native,React Native,,Cross-platform mobile framework using React to build native Android and iOS applications that share most JavaScript or TypeScript code.
esco/skill/figma,Figma,,"Collaborative design tool used to produce user interface mockups, component libraries, and interactive prototypes for web and mobile applications."
esco/skill/user-research,User Research,ux research,"Interviewing users, running usability studies, synthesising findings, and translating insights into product and design decisions."
esco/skill/accessibility,Accessibility (a11y),a11y|wcag,"Designing and building digital products that are usable by people with disabilities, aligned with WCAG guidelines and assistive technologies."
esco/skill/unit-testing,Unit Testing,junit|pytest|jest,"Writing automated tests that isolate individual units of code using frameworks such as JUnit, pytest, or Jest, with mocks, stubs, and assertions."
esco/skill/integration-testing,Integration Testing,,"Writing automated tests that exercise multiple collaborating components or services together, often using containerised databases and HTTP clients."
esco/skill/test-driven-development,Test-Driven Development,tdd,"Practice of writing a failing test before the code that satisfies it, then refactoring, in short red-green-refactor cycles."
esco/skill/selenium,Selenium,webdriver,"Browser automation toolkit used to write end-to-end tests that drive real browsers via the WebDriver protocol, frequently combined with Java or Python."
esco/skill/distributed-systems,Distributed Systems,,"Designing systems composed of networked nodes that coordinate to deliver reliability, availability, and scalability under partial failure."
esco/skill/microservices,Microservices Architecture,,Architectural style that structures an application as a suite of independently deployable services communicating over lightweight protocols.
